profundidade, Hreal, Himag, rho 
 -0.3700000047683716E+01, -0.7607313212836159E-01, -0.1971404304732270E-03,   1.0
 -0.3599999904632568E+01, -0.7607311064171426E-01, -0.1953516115829290E-03,   1.0
 -0.3500000000000000E+01, -0.7607308246522186E-01, -0.1929722427355400E-03,   1.0
 -0.3400000095367432E+01, -0.7607304764996466E-01, -0.1899525778372982E-03,   1.0
 -0.3299999952316284E+01, -0.7607300626514098E-01, -0.1862265747437209E-03,   1.0
 -0.3200000047683716E+01, -0.7607295840006993E-01, -0.1817079837369965E-03,   1.0
 -0.3099999904632568E+01, -0.7607290416680658E-01, -0.1762848187529501E-03,   1.0
 -0.3000000000000000E+01, -0.7607284370356339E-01, -0.1698114952499017E-03,   1.0
 -0.2900000095367432E+01, -0.7607277717917882E-01, -0.1620975044046909E-03,   1.0
 -0.2799999952316284E+01, -0.7607270479901033E-01, -0.1528907970041458E-03,   1.0
 -0.2700000047683716E+01, -0.7607262681280588E-01, -0.1418528388275870E-03,   1.0
 -0.2599999904632568E+01, -0.7607254352539890E-01, -0.1285201094828785E-03,   1.0
 -0.2500000000000000E+01, -0.7607245531158872E-01, -0.1122426844979216E-03,   1.0
 -0.2400000095367432E+01, -0.7607236263743998E-01, -0.9208234582949069E-04,   1.0
 -0.2299999952316284E+01, -0.7607226609189476E-01, -0.6663544123136190E-04,   1.0
 -0.2200000047683716E+01, -0.7607216643590155E-01, -0.3370691105435639E-04,   1.0
 -0.2099999904632568E+01, -0.7607206468343673E-01,  0.1033315971099194E-04,   1.0
 -0.2000000000000000E+01, -0.7607196224611280E-01,  0.7193749872267882E-04,   1.0
 -0.1899999976158142E+01, -0.7607206237657113E-01,  0.5679660780846234E-04,   1.0
 -0.1799999952316284E+01, -0.7607215592907762E-01,  0.4169188828170550E-04,   1.0
 -0.1700000047683716E+01, -0.7607224295240815E-01,  0.2663013331873789E-04,   1.0
 -0.1600000023841858E+01, -0.7607232349938473E-01,  0.1162091255804391E-04,   1.0
 -0.1500000000000000E+01, -0.7607239762914735E-01, -0.3322061603098442E-05,   1.0
 -0.1399999976158142E+01, -0.7607246541044298E-01, -0.1817865836573460E-04,  50.0
 -0.1299999952316284E+01, -0.7607252692664730E-01, -0.3291835928217092E-04,  50.0
 -0.1200000047683716E+01, -0.7607258228379629E-01, -0.4749293451031044E-04,  50.0
 -0.1100000023841858E+01, -0.7607263162427258E-01, -0.6182195493824952E-04,  50.0
 -0.1000000000000000E+01, -0.7607267515191560E-01, -0.7576148774770924E-04,  50.0
 -0.8999999761581421E+00, -0.7607260736814818E-01, -0.6321884539107963E-04,  50.0
 -0.8000000119209290E+00, -0.7607254794491020E-01, -0.5432920169577034E-04,  50.0
 -0.6999999880790710E+00, -0.7607249548782616E-01, -0.4774187724121130E-04,  50.0
 -0.6000000238418579E+00, -0.7607244896533498E-01, -0.4269727537728406E-04,  50.0
 -0.5000000000000000E+00, -0.7607240758693377E-01, -0.3873610988791856E-04,  50.0
