 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.6400000095367432E+01, -0.7607307250382729E-01,  0.2184495232600747E-04,  0.1544589445025205E+00, -0.4089707026368695E-03,  0.8000000000000000E+00
 -0.6300000190734863E+01, -0.7607295869498563E-01,  0.4107182743223415E-04,  0.1544585526745924E+00, -0.4469260590267852E-03,  0.8000000000000000E+00
 -0.6199999809265137E+01, -0.7607283466387840E-01,  0.6030714567350990E-04,  0.1544581473635701E+00, -0.4848642885063112E-03,  0.8000000000000000E+00
 -0.6099999904632568E+01, -0.7607270036791240E-01,  0.7955149750967897E-04,  0.1544577287276739E+00, -0.5227842725901996E-03,  0.8000000000000000E+00
 -0.6000000000000000E+01, -0.7607255576167224E-01,  0.9880552708824191E-04,  0.1544572969339830E+00, -0.5606847926160387E-03,  0.8000000000000000E+00
 -0.5900000095367432E+01, -0.7607271350455799E-01,  0.2027877709937149E-04,  0.1544568784613868E+00, -0.5922435912071521E-03,  0.8000000000000000E+00
 -0.5800000190734863E+01, -0.7607287159763886E-01, -0.3585647995946723E-04,  0.1544564959131285E+00, -0.6147049606216532E-03,  0.8000000000000000E+00
 -0.5699999809265137E+01, -0.7607302762904695E-01, -0.7783499066203912E-04,  0.1544561448408359E+00, -0.6314372989902627E-03,  0.8000000000000000E+00
 -0.5599999904632568E+01, -0.7607317985770179E-01, -0.1102875326425638E-03,  0.1544558219232930E+00, -0.6443266259421118E-03,  0.8000000000000000E+00
 -0.5500000000000000E+01, -0.7607332696814705E-01, -0.1360133548364182E-03,  0.1544555245980900E+00, -0.6545097870414279E-03,  0.8000000000000000E+00
 -0.5400000095367432E+01, -0.7607346793320956E-01, -0.1568017680154198E-03,  0.1544552508385184E+00, -0.6627120200866798E-03,  0.8000000000000000E+00
 -0.5300000190734863E+01, -0.7607360193085298E-01, -0.1738483028724758E-03,  0.1544549990108070E+00, -0.6694171771560706E-03,  0.8000000000000000E+00
 -0.5199999809265137E+01, -0.7607372829081566E-01, -0.1879808192297902E-03,  0.1544547677786834E+00, -0.6749599215079636E-03,  0.8000000000000000E+00
 -0.5099999904632568E+01, -0.7607384645876569E-01, -0.1997895362449860E-03,  0.1544545560372677E+00, -0.6795786270257499E-03,  0.8000000000000000E+00
 -0.5000000000000000E+01, -0.7607395597133733E-01, -0.2097053967995339E-03,  0.1544543628659399E+00, -0.6834472039083929E-03,  0.8000000000000000E+00
 -0.4900000095367432E+01, -0.7607405643824662E-01, -0.2180491814226375E-03,  0.1544541874939329E+00, -0.6866950183981988E-03,  0.8000000000000000E+00
 -0.4800000190734863E+01, -0.7607414752916164E-01, -0.2250633223475156E-03,  0.1544540292747280E+00, -0.6894197822829250E-03,  0.8000000000000000E+00
 -0.4699999809265137E+01, -0.7607422896390624E-01, -0.2309330918292567E-03,  0.1544538876667073E+00, -0.6916961299349344E-03,  0.8000000000000000E+00
 -0.4599999904632568E+01, -0.7607430050503494E-01, -0.2358010428758124E-03,  0.1544537622183841E+00, -0.6935814596957689E-03,  0.8000000000000000E+00
 -0.4500000000000000E+01, -0.7607436195216567E-01, -0.2397770338067725E-03,  0.1544536525570391E+00, -0.6951199863493699E-03,  0.8000000000000000E+00
 -0.4400000095367432E+01, -0.7607441313763454E-01, -0.2429452792359441E-03,  0.1544535583799748E+00, -0.6963455898978442E-03,  0.8000000000000000E+00
 -0.4300000190734863E+01, -0.7607445392317927E-01, -0.2453693414984187E-03,  0.1544534794478210E+00, -0.6972838310996063E-03,  0.8000000000000000E+00
 -0.4199999809265137E+01, -0.7607448419743680E-01, -0.2470956518330202E-03,  0.1544534155794860E+00, -0.6979533724400953E-03,  0.8000000000000000E+00
 -0.4099999904632568E+01, -0.7607450387411928E-01, -0.2481559445328919E-03,  0.1544533666484847E+00, -0.6983669596158583E-03,  0.8000000000000000E+00
 -0.4000000000000000E+01, -0.7607451289075538E-01, -0.2485688515080195E-03,  0.1544533325804374E+00, -0.6985320635839444E-03,  0.8000000000000000E+00
 -0.3900000095367432E+01, -0.7607451120794524E-01, -0.2483408109156067E-03,  0.1544533133516208E+00, -0.6984512452220314E-03,  0.8000000000000000E+00
 -0.3799999952316284E+01, -0.7607449880907358E-01, -0.2474663741610183E-03,  0.1544533089884951E+00, -0.6981222765414238E-03,  0.8000000000000000E+00
 -0.3700000047683716E+01, -0.7607447570048677E-01, -0.2459279390526127E-03,  0.1544533195681854E+00, -0.6975380294698539E-03,  0.8000000000000000E+00
 -0.3599999904632568E+01, -0.7607444191212827E-01, -0.2436948844553874E-03,  0.1544533452199375E+00, -0.6966861219313090E-03,  0.8000000000000000E+00
 -0.3500000000000000E+01, -0.7607439749866850E-01, -0.2407220256687625E-03,  0.1544533861276270E+00, -0.6955482881176006E-03,  0.8000000000000000E+00
 -0.3400000095367432E+01, -0.7607434254119114E-01, -0.2369472412686738E-03,  0.1544534425334351E+00, -0.6940994119468102E-03,  0.8000000000000000E+00
 -0.3299999952316284E+01, -0.7607427714952619E-01, -0.2322880298831205E-03,  0.1544535147428997E+00, -0.6923061250509141E-03,  0.8000000000000000E+00
 -0.3200000047683716E+01, -0.7607420146536316E-01, -0.2266366220875043E-03,  0.1544536031316071E+00, -0.6901248161847546E-03,  0.8000000000000000E+00
 -0.3099999904632568E+01, -0.7607411566633746E-01, -0.2198530705071325E-03,  0.1544537081539341E+00, -0.6874988162922531E-03,  0.8000000000000000E+00
 -0.3000000000000000E+01, -0.7607401997137035E-01, -0.2117554230391358E-03,  0.1544538303543949E+00, -0.6843543931932277E-03,  0.8000000000000000E+00
 -0.2900000095367432E+01, -0.7607391464764608E-01, -0.2021055663374542E-03,  0.1544539703823945E+00, -0.6805949776143373E-03,  0.8000000000000000E+00
 -0.2799999952316284E+01, -0.7607380001982056E-01, -0.1905884562987235E-03,  0.1544541290115446E+00, -0.6760926850312251E-03,  0.8000000000000000E+00
