 profundidade, Hreal, Himag, rho
  0.2700000047683716E+01, -0.7607235584305189E-01, -0.1532452119606403E-04, 160.0
  0.2799999952316284E+01, -0.7607237841514286E-01, -0.1540386783339043E-04, 160.0
  0.2900000095367432E+01, -0.7607240235998096E-01, -0.1550808237584627E-04, 160.0
  0.3000000000000000E+01, -0.7607242770025220E-01, -0.1563783759905644E-04, 160.0
  0.3099999904632568E+01, -0.7607245446225920E-01, -0.1579402630361659E-04, 160.0
  0.3200000047683716E+01, -0.7607248267607757E-01, -0.1597777863764395E-04, 160.0
  0.3299999952316284E+01, -0.7607251237573673E-01, -0.1619048479541246E-04, 160.0
  0.3400000095367432E+01, -0.7607254359944408E-01, -0.1643382398481244E-04, 160.0
  0.3500000000000000E+01, -0.7607257638985657E-01, -0.1670980083583995E-04, 160.0
  0.3599999904632568E+01, -0.7607261079439404E-01, -0.1702079080933093E-04, 160.0
  0.3700000047683716E+01, -0.7607264686561342E-01, -0.1736959663429498E-04, 160.0
  0.3799999952316284E+01, -0.7607268466165047E-01, -0.1775951844505292E-04, 160.0
  0.3900000095367432E+01, -0.7607272424672881E-01, -0.1819444113739468E-04, 160.0
  0.4000000000000000E+01, -0.7607276569176762E-01, -0.1867894360809809E-04, 160.0
  0.4099999904632568E+01, -0.7607280907508841E-01, -0.1921843612118630E-04, 160.0
  0.4199999809265137E+01, -0.7607285448325707E-01, -0.1981933422474925E-04, 160.0
  0.4300000190734863E+01, -0.7607290201206962E-01, -0.2048928071217248E-04, 160.0
  0.4400000095367432E+01, -0.7607295176773497E-01, -0.2123743150771428E-04, 160.0
  0.4500000000000000E+01, -0.7607300386828664E-01, -0.2207482768869499E-04, 160.0
  0.4599999904632568E+01, -0.7607305844528536E-01, -0.2301488519441781E-04, 160.0
  0.4699999809265137E+01, -0.7607311564588479E-01, -0.2407404773714453E-04, 160.0
  0.4800000190734863E+01, -0.7607317563537010E-01, -0.2527266975808809E-04, 160.0
  0.4900000095367432E+01, -0.7607323860028867E-01, -0.2663622952183376E-04, 160.0
  0.5000000000000000E+01, -0.7607330475238133E-01, -0.2819702550661008E-04, 160.0
  0.5099999904632568E+01, -0.7607337433356255E-01, -0.2999659617635015E-04, 160.0
  0.5199999809265137E+01, -0.7607344762232875E-01, -0.3208924979931490E-04, 160.0
  0.5300000190734863E+01, -0.7607352494214799E-01, -0.3454734641479588E-04, 160.0
  0.5400000095367432E+01, -0.7607360667264444E-01, -0.3746943606002100E-04, 160.0
  0.5500000000000000E+01, -0.7607369326485738E-01, -0.4099322947850975E-04, 160.0
  0.5599999904632568E+01, -0.7607378526260479E-01, -0.4531710738538977E-04, 160.0
  0.5699999809265137E+01, -0.7607388333332830E-01, -0.5073751080997467E-04, 160.0
  0.5800000190734863E+01, -0.7607398831434871E-01, -0.5771774737899564E-04, 160.0
  0.5900000095367432E+01, -0.7607410128548971E-01, -0.6702381972442164E-04, 160.0
  0.6000000000000000E+01, -0.7607422368994832E-01, -0.8001744134893617E-04, 160.0
  0.6099999904632568E+01, -0.7607422929985062E-01, -0.6469309399416503E-04, 160.0
  0.6199999809265137E+01, -0.7607422873696990E-01, -0.4937061638125606E-04, 160.0
  0.6300000190734863E+01, -0.7607422201397308E-01, -0.3404994826105687E-04, 160.0
  0.6400000095367432E+01, -0.7607420914311239E-01, -0.1873103287496834E-04, 160.0
  0.6500000000000000E+01, -0.7607419013624774E-01, -0.3413816726093010E-05, 160.0
  0.6599999904632568E+01, -0.7607416500486357E-01,  0.1190175062981994E-04,   1.0
  0.6699999809265137E+01, -0.7607413376009144E-01,  0.2721571678186850E-04,   1.0
  0.6800000190734863E+01, -0.7607409641272361E-01,  0.4252812663790688E-04,   1.0
  0.6900000095367432E+01, -0.7607405297323361E-01,  0.5783902259935842E-04,   1.0
  0.7000000000000000E+01, -0.7607400345178783E-01,  0.7314844470926111E-04,   1.0
  0.7099999904632568E+01, -0.7607418594927881E-01,  0.9674797811141127E-05,   1.0
  0.7199999809265137E+01, -0.7607437503574313E-01, -0.3590058839624162E-04,   1.0
  0.7300000190734863E+01, -0.7607456914667463E-01, -0.7018866849837769E-04,   1.0
  0.7400000095367432E+01, -0.7607476715180354E-01, -0.9690850875721594E-04,   1.0
  0.7500000000000000E+01, -0.7607496819590905E-01, -0.1183097482596347E-03,   1.0
  0.7599999904632568E+01, -0.7607517160952004E-01, -0.1358319863687508E-03,   1.0
  0.7699999809265137E+01, -0.7607537685478297E-01, -0.1504388082602388E-03,   1.0
  0.7800000190734863E+01, -0.7607558349063720E-01, -0.1627993004384982E-03,   1.0
  0.7900000095367432E+01, -0.7607579114937042E-01, -0.1733924709662289E-03,   1.0
  0.8000000000000000E+01, -0.7607599952022261E-01, -0.1825702190560693E-03,   1.0
  0.8100000381469727E+01, -0.7607620833756504E-01, -0.1905968453556553E-03,   1.0
  0.8199999809265137E+01, -0.7607641737216207E-01, -0.1976746966343212E-03,   1.0
  0.8300000190734863E+01, -0.7607662642455706E-01, -0.2039613048593975E-03,   1.0
  0.8399999618530273E+01, -0.7607683531998576E-01, -0.2095811378129128E-03,   1.0
